,0
.net+Developer,"20,374"
.net+core,"12,080"
.net+framework+version,"1,373"
3d+Developer,"1,981"
ab+initio,463
abap+Developer,493
active+directory,"17,413"
admin+Developer,"6,875"
adobe+Developer,"4,779"
ads+Developer,"1,930"
advertisement+server,279
aem+Developer,437
agile+Developer,"37,163"
ajax+Developer,"4,758"
algorithm+Developer,"15,369"
alm+Developer,828
amazon+cloudformation,"1,250"
amazon+data+pipeline,"1,157"
amazon+dynamodb,"2,150"
amazon+ec2,"3,619"
amazon+elastic+beanstalk,164
amazon+emr,"1,420"
amazon+kinesis,"1,132"
amazon+kinesis+firehose,114
amazon+redshift,"2,340"
amazon+s3,"2,486"
amazon+web+services,"21,745"
anaconda+Developer,85
analytics+Developer,"25,454"
android+Developer,"6,882"
android+databinding,9
android+jetpack,61
angular+Developer,"13,961"
angular5+Developer,7
angularjs+Developer,"3,246"
ansible+Developer,"3,121"
apache+Developer,"5,278"
apache+beam,257
apache+flink,309
apache+kafka,"2,206"
apache+nifi,347
apache+spark,"2,999"
apache+spark+sql,"1,680"
apache+storm,456
apex+Developer,"2,633"
api+Developer,"14,129"
api+design,"21,115"
apis+Developer,"12,852"
apollo+Developer,248
apollo+client,591
appium+Developer,281
application+server,"69,951"
architecture+Developer,"50,008"
arm+Developer,"1,727"
artificial+intelligence,"12,684"
asp.net+Developer,"6,938"
asp.net+core,"2,408"
asp.net+mvc,"3,818"
asp.net+web+api,"1,941"
assembly+Developer,"3,169"
async+await,67
asynchronous+Developer,"1,323"
atlassian+crowd,63
autofac+Developer,18
automated+tests,"32,353"
automation+Developer,"23,005"
aws+Developer,"26,201"
aws+lambda,"4,230"
azure+Developer,"12,533"
azure+cosmosdb,204
azure+devops,"8,666"
azure+functions,"6,890"
azure+logic+apps,282
azure+sql+database,"4,166"
b2b+Developer,"2,173"
babel+Developer,404
backbase+Developer,17
backbone.js+Developer,205
backend+Developer,"5,874"
banking+Developer,"1,699"
bash+Developer,"4,010"
bdd+Developer,733
bigdata+Developer,188
bitbake+Developer,8
bitbucket+Developer,"1,877"
bizagi+Developer,5
black+box+testing,"1,101"
blockchain+Developer,642
bluetooth+Developer,577
boost+Developer,635
bootloader+Developer,21
bootstrap+Developer,"4,888"
bootstrap+4,"1,354"
browserstack+Developer,44
build+Developer,"67,699"
build+automation,"41,184"
buildroot+Developer,8
business+intelligence,"31,360"
c+Developer,"12,343"
c#+Developer,"185,444"
c#+4.0,"185,526"
c+++Developer,"12,343"
c++11+Developer,246
caffe+Developer,130
cakephp+Developer,54
calypso+Developer,55
capacity+planning,"41,403"
cassandra+Developer,"2,797"
cd+Developer,"8,735"
celery+Developer,70
centos+Developer,614
chef+Developer,"1,266"
ci+Developer,"8,014"
circleci+Developer,345
cisco+Developer,"1,288"
clean+architecture,"4,515"
client+Developer,"51,903"
client+server,"42,339"
clojure+Developer,172
cloud+Developer,"46,581"
cloud+hosting,"3,363"
cmake+Developer,179
cms+Developer,"2,114"
cobol+Developer,730
cockroachdb+Developer,10
cocoa+Developer,304
cocoa+touch,220
cocoapods+Developer,67
cocos2d+iphone,1
coffeescript+Developer,68
cognos+Developer,741
cognos+tm1,480
combine+Developer,"4,082"
communication+Developer,"82,606"
compiler+construction,30
compiler+optimization,385
computer+science,"164,649"
computer+vision,"351,765"
concurrency+Developer,"1,397"
configuration+Developer,"18,328"
confluence+Developer,"3,408"
containers+Developer,"6,436"
content+management+system,"58,698"
continuous+delivery,"71,767"
continuous+deployment,"21,021"
continuous+integration,"35,340"
cordova+Developer,321
core+Developer,"28,776"
creative+cloud,"24,603"
crm+Developer,"4,840"
cross+browser,"4,028"
cross+platform,"58,561"
css+Developer,"19,645"
css3+Developer,"3,380"
cucumber+Developer,"1,397"
cuda+Developer,222
